名前,2018-03-19,2018-06-19,2018-09-19,2018-12-19,2019-03-19,2019-06-19,2019-09-19,2019-12-19,2020-03-19
北沢志保,2144,2293,2484,2633,2965,3079,3311,3484,3745
七尾百合子,1723,1958,2234,2406,2655,2795,2996,3164,3488
望月杏奈,1576,1847,2052,2211,2381,2611,2793,2947,3131
真壁瑞希,1345,1505,1682,1888,2157,2295,2535,2722,2970
周防桃子,1297,1404,1607,1932,2221,2410,2713,3166,3453
箱崎星梨花,1287,1349,1446,1531,1714,1805,1932,2035,2242
最上静香,1186,1253,1430,1546,1689,1776,1980,2085,2233
横山奈緒,1177,1252,1369,1455,1576,1654,1752,1871,2079
春日未来,1160,1279,1447,1530,1648,1733,1895,2003,2188
徳川まつり,1109,1180,1306,1412,1640,1720,1814,1914,2109
伊吹翼,1093,1189,1402,1487,1618,1739,1964,2065,2217
矢吹可奈,1022,1077,1191,1222,1299,1375,1525,1584,1672
馬場このみ,975,1126,1274,1418,1557,1734,1863,1973,2102
永吉昴,929,1011,1088,1179,1282,1370,1483,1606,1734
伴田路子,856,977,1038,1135,1241,1318,1445,1550,1692
所恵美,838,1038,1186,1304,1442,1604,1761,1898,2057
田中琴葉,764,876,996,1203,1350,1498,1655,1859,1981
佐竹美奈子,759,869,932,983,1036,1160,1250,1307,1390
北上麗花,758,889,988,1089,1185,1332,1432,1522,1596
大神環,754,826,860,918,988,1085,1133,1212,1306
野々原茜,714,782,851,977,1075,1155,1236,1326,1375
高山紗代子,694,759,854,934,1050,1129,1194,1250,1367
松田亜利沙,669,734,776,826,878,981,1057,1121,1165
高坂海美,625,688,902,984,1080,1168,1351,1453,1566
宮尾美也,601,699,776,847,939,1094,1210,1356,1451
ジュリア(アイマス),587,600,729,811,838,894,932,998,1122
天空橋朋花,578,659,741,893,996,1060,1148,1234,1324
エミリー・スチュアート,556,581,647,715,841,891,998,1097,1283
白石紬,550,725,875,1071,1240,1474,1692,1849,2060
百瀬莉緒,525,593,677,826,906,986,1087,1230,1315
福田のり子,511,578,645,699,766,844,892,944,1009
豊川風花,503,561,686,734,785,838,968,1031,1101
島原エレナ,485,552,622,705,763,845,901,1019,1086
中谷育,467,507,547,622,674,720,800,954,1021
木下ひなた,445,474,549,679,772,813,923,996,1064
桜守歌織,444,631,772,879,982,1190,1334,1416,1542
二階堂千鶴,414,468,517,590,664,704,758,855,921
舞浜歩,375,403,441,466,518,550,628,673,703
篠宮可憐,374,406,470,518,584,630,711,750,793
